CODE;NMAX;TIME1;TIME2;CURTIME;LOFFS;ROFFS;LTOL;RTOL;LBREAK;RBREAK;DIRECT;Max Durchmesser;Max Laenge;P2;BC;IKZ;ML;MLR;AM;KINEMATIC;PLC
120824141857;0;0;0;0;0;0;0;0;0.5;0.5;-1;35;183.0;0;1;1;1;0;0;308192_6.CFG;%00000111
120824142110;0;0;0;0;0;0;0;0;0.5;0.5;-1;35;181.5;0;1;1;1;0;0;308192_6.CFG;%00000111
120824142837;0;0;0;0;0;0;0;0;0.5;0.5;-1;35;184.5;0;1;1;1;0;0;308192_8.CFG;%00000111
210824135249;0;0;0;0;0;0;0;0;0.5;0.5;-1;35;197.5;0;1;1;1;0;0;308192_10.CFG;%00000111
120824102400;0;0;0;0;0;0;0;0;0.5;0.5;-1;35;200.0;0;1;1;1;0;0;308192_10.CFG;%00000111
120824151145;0;0;0;0;0;0;0;0;0.5;0.5;-1;35;238.0;0;1;1;1;0;0;308172_6.CFG;%00000111
130824095337;0;0;0;0;0;0;0;0;0.5;0.5;-1;35;265.0;0;1;1;1;0;0;308187_6.CFG;%00000111
120824150911;0;0;0;0;0;0;0;0;0.5;0.5;-1;35;287.0;0;1;1;1;0;0;308172_8.CFG;%00000111
120824154325;0;0;0;0;0;0;0;0;0.5;0.5;-1;35;312.0;0;1;1;1;0;0;308172_8.CFG;%00000111
120824153241;0;0;0;0;0;0;0;0;0.5;0.5;-1;35;342.0;0;1;1;1;0;0;308172_10.CFG;%00000111
120824153045;0;0;0;0;0;0;0;0;0.5;0.5;-1;35;368.0;0;1;1;1;0;0;308170_10.CFG;%00000111
130824095150;0;0;0;0;0;0;0;0;0.5;0.5;-1;80;437;0;0;0;0;0;0;308187_10.CFG;%00000000
120824073130;0;0;0;0;0;0;0;0;0.5;0.5;-1;35;190.7;0;1;1;1;0;0;308192_10.CFG;%00000111
120824090557;0;0;0;0;0;24.7;0;0;0.5;0.5;-1;35;160.0;0;1;1;1;0;0;306562_22.CFG;%00000111
120824071833;0;0;0;0;0;0;0;0;0.5;0.5;-1;35;172.0;0;1;1;1;0;0;308192_6.CFG;%00000111
090824073309;0;0;0;0;1.5;1.1;0;0;0.5;0.5;-1;35;165.0;0;1;1;0;1;0;308196_6.CFG;%00001011
120824133304;0;0;0;0;2;3.8;0;0;0.5;0.5;-1;35;172.2;0;1;1;0;1;0;308196_8.CFG;%00001011
120824132942;0;0;0;0;2;1.8;0;0;0.5;0.5;-1;35;163.0;0;0;0;0;0;0;308196_6.CFG;%00000000
120824125130;0;0;0;0;2;5.8;0;0;0.5;0.5;-1;35;176.0;0;1;1;0;1;0;308196_12.CFG;%00001011
120824125605;0;0;0;0;2;5.8;0;0;0.5;0.5;-1;35;176.0;0;1;1;0;1;0;308196_12.CFG;%00001011
120824135646;0;0;0;0;2;1.3;0;0;0.5;0.5;-1;35;161.3;0;1;1;0;1;0;308196_6.CFG;%00001011
120824081725;0;0;0;0;0;0;0;0;0.5;0.5;-1;35;141.5;0;1;1;1;0;0;338110_M1-M12.CFG;%00000111
130824071745;0;0;0;0;0;0;0;0;0.5;0.5;-1;35;178.5;0;1;1;1;0;0;308318_10.CFG;%00000111
130824073529;0;0;0;0;0;0;0;0;0.5;0.5;-1;35;160.0;0;1;1;1;0;0;304972_2-6.CFG;%00000111
130824074053;0;0;0;0;0;0;0;0;0.5;0.5;-1;35;161.0;0;1;1;1;0;0;304972_2-6.CFG;%00000111
130824073214;0;0;0;0;0;0;0;0;0.5;0.5;-1;35;160.0;0;1;1;1;0;0;304972_2-6.CFG;%00000111
120824103631;0;0;0;0;0;0;0;0;0.5;0.5;-1;35;170.0;0;1;1;1;0;0;308192_6.CFG;%00000111
130824065342;0;0;0;0;2;7.8;0;0;0.5;0.5;-1;35;166.8;0;1;1;0;1;0;308172_16.CFG;%00001011
