QR;ToolNummer;ToolName;D;Ausspann_Laenge;IST_Laenge;SOLL_Laenge;Message1;Message2;Message3;Message4;Message5;Maschine
;4;MK_D50_ECK_EDELSTAHL;50;40;90;;KJ5D050R00;306530 22;;;HSK 63;C42
;6;D40_RUNDPLATTE;42;90;90;;5B5H042R01;306530 16;;;HSK 63;C400
;8;MK_D32_ECK_EINSCHRAUBER;32;67;144;;1KJ1D032043X8R00;307044 M16x75;;;HSK 63;DMU
;9;MK_D40_ECK;40.001;40;140;;KJ5D040R00;306562 16;;;HSK 63;C32
;10;MK_D63_ECK;63;40;140;;KJ5D063R00;306562 22;;;HSK 63;C42
;11;MK_40_SCHLICHT_ALU;40;67;152;;12F1D040043X8R00;HSKA63ODP16X109;;;HSK 63;C400
;12;MK_D63_SCHLICHT;63;40;115;;2F6D063R00;306541 22;;;HSK 63;DMU
;14;MK_D63_SCHRUPP;63;40;90;;TJ5Q063R00;306530 22;;;HSK 63;C32
;16;MK_D20_ALU_EINSCHAURBER;20;22;222;;12J1D020022TSR00;308165 20;S020T12HA120;;HSK 63;C42
;17;MK_D25_ALU_EINSCHRAUBER;25;65;127;;1AX2K025043X7R00;HSKA63ODP12X84;;;HSK 63;C400
;18;MK_D32_ALU_EINSCHRAUBER;32;68;152;;1AX2K032043X8R00;HSKA63ODP16X109;;;HSK 63;DMU
;19;MK_D40_ALU;39.94;50;180;;AX2K040R00;306566 16;;;HSK 63;C32
;20;MK_D50_ALU;50;50;150;;AX2K050R00;306562 22;;;HSK 63;C42
;21;MK_D80_ALU;79.94;50;110;;AX2K100R00;306530 32;;;HSK 63;C400
;22;MK_D100_ALU;100;50;110;;AX2K100R00;306530 32;;;HSK 63;DMU
;24;D10_SCHRUPP_SLOTMASCHINE_KURZ;10;20;85;;205548 10;304272 10;;;HSK 63;C32
;25;NC_ANBOHRER_D10_90GRD;10;20;140;;121040 10;308318 10;;;HSK 63;C42
;26;NC_ANBOHRER_16_90GRD_LANG;16;213;213;;121051 16;308172 16;;;HSK 63;C400
;27;NC_ANBOHRER_D20_90GRD;20;27;107;;121040 20;304272 20;;;HSK 63;DMU
;30;NC_ANBOHRER_12_142GRD;12;33;153;;121070 12;308318 10;;;HSK 63;C32
;32;FASER_D6_30GRD;6;24;144;;208127 6;308192 6;;;HSK 63;C42
;33;FASER_D4;4;20;140;;208105 4;304972 2-6;309563 4;;HSK 63;C400
;34;FASER_D6;6;15;135;;208164 6;308318 6;;;HSK 63;DMU
;35;FASER_D8;8;15;135;;208164 8;308318 8;;;HSK 63;C32
;36;FASER_D10;10;40;160;;208164 10;308318 10;;;HSK 63;C42
;37;RW_ENTGRATER_45GRD_6X7.8;7.8;38;118;;208180 7.8;308172 6;;;HSK 63;C400
;43;D1_SCHLICHT_KURZ;1;12;142;;202392 1;308196 6;;;HSK 63;DMU
;44;D1.5_SCHLICHT_KURZ;1.5;20;150;;202392 1,5;308196 6;;;HSK 63;C32
;45;D2_SCHLICHT_KURZ;2;20;150;;202392 2;308196 6;;;HSK 63;C42
;46;D2.5_SCHLICHT_KURZ;2.5;20;150;;202392 2,5;308196 6;;;HSK 63;C400
;47;D3_SCHLICHT_KURZ;3;20;150;;202392 3;308196 6;;;HSK 63;DMU
;48;D3.5_SCHLICHT_KURZ;3.5;20;150;;202392 3,5;308196 6;;;HSK 63;C32
;49;D4_SCHLICHT_KURZ;4;20;150;;202392 4;308196 6;;;HSK 63;C42
;50;D4.5_SCHLICHT_KURZ;4.5;22;152;;202392 4,5;308196 6;;;HSK 63;C400
;51;D5_SCHLICHT_KURZ;5;22;152;;202392 5;308196 6;;;HSK 63;DMU
;52;D5_SCHLICHT_LANG;5;27;107;;202394 5;308172 6;;;HSK 63;C32
