Tool;IdNumber;ToolType;ToolUserType;Permanent;UnitsDiameter;Diameter;Angle;Radius;ProfileRadius;UpperRadius;NumTeeth;Description;TaperAngle;ShankDiameter;UnitsLength;Length;TotalLength;ShoulderLength;Startshoulderlength;TipLength;CuttingLength;HLength;Material;UnitsFeedSpin;Ftype;FeedXY;FeedZ;FeedFinish;Stype;Spin;SpinFinish;FeedZPenetration;FeedLeadIn;FeedLeadOut;FeedLink;ToolName;ToolGroupName;HolderName;GroupHolderName;Direction;ChamferLength;TipDiameter;ShoulderDiameter;ShoulderAngle;Message1;Message2;Message3;Message4;Message5;FloodCoolant;MistCoolant;HighPressureCoolant;LowPressureCoolant;ThroughHighPressureCoolant;ThroughLowPressureCoolant;AirBlastCoolant;MinimumQuantityLubricationCoolant;MinimumQuantityLubricationValue;Rough;SpinDirection;SpinLimit;ThreadingStandard;ThreadStandardByUser;ThreadingTableStandard;NumThreads;Pitch;PitchUnit
1;3D_TASTER;PROBE;Taster_Heidenhain_TS460;1;mm;4;0;0;0;0;0;3D Taster Heidenhain / TS 460;0;41;mm;63;168;52;0;0;0;63;None;mm;F;1000;300;800;S;3500;3500;Y;100;100;200;;;;;From Face;0;0;2;0;;;0;;;0;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
3;MK_D40_HOCHVORSCHUB;FACE MILL;PowerFeed_D40_Schrupp;1;mm;41.9999;0;0;0;0;7;D40 Hochvorschub / Ingersoll / 5G5D042R00;90;32;mm;41;39.9996;3.6;3.6;0;3;125;None;mm;Fz;0.7;0.5;0.7;V;160;160;N;100;100;200;;;A=84mm_22_SM22SKK084_Ingersoll_dick;;On B-axis;0;41.9999;32;0;5G5D042R00;HSKA63SM22SK084;0;;HSK 63;0;0;0;0;0;0;1;0;0;1;CW;0;;0;;0;0;mm
4;MK_D50_ECK_EDELSTAHL;FACE MILL;GoldTrio_MK_D50;1;mm;50;0;0.8;0;0;7;MK_D50_Eck / Ingersoll;90;50;mm;40;39.3;8.4;8.4;0;7;90;None;mm;Fz;0.08;0.08;0.06;V;110;125;Y;100;100;200;;;A=50mm_22_306530;;On B-axis;0;50;50;0;KJ5D050R00;306530 22;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
6;D40_RUNDPLATTE;FACE MILL;Blade_Master_D42_Rundplatte;1;mm;42;0;6;0;0;5;Blade_Master_D42_Rundplatte;90;40;mm;90;40;20;18;0;12;90;None;mm;Fz;0.2;0.1;0.2;S;1136.82;1136.82;N;100;100;200;;;A= 50mm_16_306530;;On B-axis;0;42;34;10;5B5H042R01;306530 16;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
8;MK_D32_ECK_EINSCHRAUBER;FACE MILL;GoldTrio_MK_D32;1;mm;32;0;0;0;0;5;MK_D32_Eck / Ingersoll;90;32;mm;67;66.3;8.4;8.4;0;7;144;None;mm;F;1000;300;800;S;3500;3500;Y;100;100;200;;;M16x75_A=101mm_Einschraubaufnahme_307044;;On B-axis;0;32;32;0;1KJ1D032043X8R00;307044 M16x75;0;;HSK 63;0;0;0;0;0;0;1;0;0;0;CW;0;;0;;0;0;mm
9;MK_D40_ECK;FACE MILL;GoldTrio_MK_D40;1;mm;40.001;0;0.8;0;0;6;MK_D40_Eck / Ingersoll;90;40.001;mm;40;39.3;8.4;8.4;0;7;140;None;mm;F;1400;300;1400;S;1350;1350;Y;100;100;200;;;A=100mm_16_306562;;On B-axis;0;40.001;40.001;0;KJ5D040R00;306562 16;0;;HSK 63;0;0;0;0;0;0;1;0;0;0;CW;0;;0;;0;0;mm
10;MK_D63_ECK;FACE MILL;GoldTrio_MK_D63;1;mm;63;0;0.8;0;0;9;MK_D63_Eck / Ingersoll;90;63;mm;40;39.3;8.4;8.4;0;7;140;None;mm;F;1000;300;1000;S;1000;1000;Y;100;100;200;;;A=100mm_22_306562;;On B-axis;0;63;63;0;KJ5D063R00;306562 22;0;;HSK 63;0;0;0;0;0;0;1;0;0;0;CW;0;;0;;0;0;mm
11;MK_D40_SCHLICHT_ALU;FACE MILL;40er_Schlicht_MK_ALU_12F1D040043X8R00;1;mm;40;0;0;0;0;4;MK_D63 Schlicht / MircoMill / Ingersoll /12F1D040043X8R00;90;40;mm;67;66.6;1.8;1.8;0;1.5;152;None;mm;F;1500;300;1500;S;8000;8000;N;100;100;200;;;EIN_SCHRAUBER_AUFNAHME_4542283;;On B-axis;0;40;40;0;12F1D040043X8R00;HSKA63ODP16X109;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
12;MK_D63_SCHLICHT;FACE MILL;63er_Schlicht_MK_2F6D063R00;1;mm;63;0;0.5;0;0;6;MK_D63 Schlicht / MircoMill / Ingersoll / 2F6D063R00;90;63;mm;40;39.6;1.2;1.2;0;1;115;None;mm;F;300;300;300;S;800;800;Y;100;100;200;;;A=75mm_22_306541;;On B-axis;0;63;63;0;2F6D063R00;306541 22;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
14;MK_D63_SCHRUPP;FACE MILL;DiposTetra_MK_D63_Schrupp;1;mm;63;0;1.6;0;0;7;MK_D63_Schrupp / Ingersoll / TJ5Q063R00;90;32;mm;40;40;12;12;0;10;90;None;mm;F;1000;300;800;S;3500;3500;Y;100;100;200;;;A=50mm_22_306530;;On B-axis;0;63;32;0;TJ5Q063R00;306530 22;0;;HSK 63;0;0;0;0;0;0;1;0;0;0;CW;0;;0;;0;0;mm
16;MK_D20_ALU_EINSCHRAUBER;FACE MILL;20er_ALU_MK_Einschrauber;1;mm;20;0;0;0;0;4;20er_ALU_MK_Einschrauber / Ingersoll / HiPos ALU / 12J1D020022TSR00;90;12;mm;22;36.0002;22;9;0;5.7;222;None;mm;Fz;0.08;0.08;0.08;V;1000;1000;N;100;100;200;;;Schrumpffutter_kurz_308165_20;;On B-axis;0;20;19;90;12J1D020022TSR00;308165 20;S020T12HA120;;HSK 63;0;0;0;0;0;0;0;0;0;1;CW;0;;0;;0;0;mm
17;MK_D25_ALU_EINSCHRAUBER;FACE MILL;25er_ALU_MK_Einschrauber;1;mm;25;0;1.2;0;0;2;Hipos Alufr�ser / D25mm / Einschrauber;90;25;mm;65;64.98;19.2;19.2;0;16;127;None;mm;F;4375;3500;1750;S;17500;17500;Y;100;100;200;;;ODP_M12x84_A=84mm_Einschraubaufnahme_Ingersoll;;On B-axis;0;25;25;0;1AX2K025043X7R00;HSKA63ODP12X84;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
18;MK_D32_ALU_EINSCHRAUBER;FACE MILL;32er_ALU_MK_Einschrauber;1;mm;32;0;1.2;0;0;3;Hipos Alufr�ser / D32mm / Einschrauber;90;32;mm;68;67.98;19.2;19.2;0;16;152;None;mm;F;4476.23;2984.16;1641.29;V;1000;1100;Y;100;100;200;;;ODP_M16x109_A=109mm_Einschraubaufnahme_Ingersoll;;On B-axis;0;32;32;0;1AX2K032043X8R00;HSKA63ODP16X109;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
19;MK_D40_ALU;FACE MILL;40er_ALU_MK_Aufsteck;1;mm;39.94;0;1.2;0;0;4;Hipos Alufr�ser / D40mm / Aufstecker;90;40;mm;50;49.98;18;18;0;15;180;None;mm;F;4000;4000;1200;S;10000;10000;Y;100;100;200;;;A=130mm_16_306566;;On B-axis;0;39.94;40;0;AX2K040R00;306566 16;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
