QR;ToolNummer;ToolName;Typ;Radius;Eckenradius;Spitzenwinkel;Eintauchwinkel;Schneiden;Schnittlaenge;Ausspann_Laenge;IST_Laenge;SOLL_Laenge;Steigung;Message1;Message2;Message3;Message4;Message5;KK_Durchmesser;KK_Laenge;Lage
120824120546;;;;;;;;;;;;;;;308196 6;;;;;;
090824075729;53;D6_SCHLICHT_KURZ;10;3;0;0;2.5;3;13;25;155;152;0;202392 6;308196 6;;309880 63;HSK63;35;160;
080824161156;51;D5_SCHLICHT_KURZ;10;2.5;0;0;2.5;3;14;20;154;152;0;202392 5;308196 6;;309880 63;HSK63;35;160;
090824074544;44;D1.5_SCHLICHT_KURZ;10;0.75;0;0;2.5;3;5;8;157;150;0;202392 1.5;308196 6;;309880 63;HSK63;35;160;
090824073924;45;D2_SCHLICHT_KURZ;10;1;0;0;2.5;3;6;10;151;150;0;202392 2;308196 6;;309880 63;HSK63;35;155;
090824073309;46;D2.5_SCHLICHT_KURZ;10;1.25;0;0;2.5;3;7;13;155;150;0;202392 2.5;308196 6;;309880 63;HSK63;35;160;
090824072510;47;D3_SCHLICHT_KURZ;10;1.5;0;0;2.5;3;9;15;155;152;0;202392 3;308196 6;;309880 63;HSK63;35;160;
080824161841;48;D3.5_SCHLICHT_KURZ;10;1.75;0;0;2.5;3;12;16;158;152;0;202392 3.5;308196 6;;309880 63;HSK63;35;165;
080824161627;49;D4_SCHLICHT_KURZ;10;2;0;0;2.5;3;12;17;152.5;152;0;202392 4;308196 6;;309880 63;HSK63;35;160;
080824161414;50;D4.5_SCHLICHT_KURZ;10;2.25;0;0;2.5;3;14;19;153;152;0;202392 4.5;308196 6;;309880 63;HSK63;35;160;
120824130003;;;;;;;;;;;;;;;308196 6;;;;;;
090824075438;43;D1_SCHLICHT_KURZ;10;0.5;0;0;2.5;3;3;6;151;142;0;202392 1;308196 6;;309880 63;HSK63;35;160;C400
120824133127;;;;;;;;;;;;;;;308196 6;;;;;;
120824132942;;;;;;;;;;;;;;;308196 6;;;;;;
120824134051;;;;;;;;;;;;;;;308196 6;;;;;;
120824120351;;;;;;;;;;;;;;;308196 6;;;;;;
120824135646;;;;;;;;;;;;;;;308196 6;;;;;;
120824133304;;;;;;;;;;;;;;;308196 8;;;;;;
120824135310;;;;;;;;;;;;;;;308196 8;;;;;;
120824132751;;;;;;;;;;;;;;;308196 8;;;;;;
120824124757;;;;;;;;;;;;;;;308196 8;;;;;;
120824083951;;;;;;;;;;;;;;;308196 8;;;;;;
090824100551;55;D8_SCHLICHT_KURZ;10;4;0;0;2.5;3;20;33;163;158;0;202392 8;308196 8;;309880 63;HSK63;35;170;
120824101012;;;;;;;;;;;;;;;308196 4;;;;;;
120824072358;;;;;;;;;;;;;;;308196 4;;;;;;
120824135500;;;;;;;;;;;;;;;308196 4;;;;;;
120824072114;;;;;;;;;;;;;;;308196 4;;;;;;
120824133457;;;;;;;;;;;;;;;308196 10;;;;;;
120824131627;;;;;;;;;;;;;;;308196 10;;;;;;
120824121119;;;;;;;;;;;;;;;308196 10;;;;;;
090824101930;57;D10_SCHLICHT_KURZ;10;5;0;0;2.5;3;16;24;159.5;162;0;202392 10;308196 10;;309880 63;HSK63;35;165;
120824140209;;;;;;;;;;;;;;;308196 10;;;;;;
120824140020;;;;;;;;;;;;;;;308196 10;;;;;;
